frequency (Hz),total pressure/forwards pressure,acoustic impedance at measurement point (z_total = z_ec + z_me)
1500.0,1.4547563987012089,(130000000+242239272.9497635j)
1503.5035035035035,1.4524212896140452,(130000000+243087435.18726423j)
1507.007007007007,1.450079890147009,(130000000+243934941.73074746j)
1510.5105105105106,1.447732226087911,(130000000+244781797.1426967j)
1514.014014014014,1.44537832301242,(130000000+245628005.9433638j)
1517.5175175175175,1.443018206287187,(130000000+246473572.6112569j)
1521.021021021021,1.4406519010729362,(130000000+247318501.58362135j)
1524.5245245245246,1.4382794323275083,(130000000+248162797.2569135j)
1528.028028028028,1.4359008248088678,(130000000+249006463.9872683j)
1531.5315315315315,1.4335161030780668,(130000000+249849506.09096113j)
1535.035035035035,1.4311252915021722,(130000000+250691927.84486157j)
1538.5385385385384,1.428728414257146,(130000000+251533733.48688313j)
1542.042042042042,1.4263254953306952,(130000000+252374927.2164252j)
1545.5455455455456,1.4239165585250773,(130000000+253215513.19480947j)
1549.049049049049,1.4215016274598669,(130000000+254055495.54571128j)
1552.5525525525525,1.4190807255746856,(130000000+254894878.35558346j)
1556.0560560560561,1.4166538761318943,(130000000+255733665.67407596j)
1559.5595595595596,1.4142211022192457,(130000000+256571861.51444906j)
1563.063063063063,1.4117824267525019,(130000000+257409469.8539811j)
1566.5665665665665,1.4093378724780123,(130000000+258246494.63437113j)
1570.07007007007,1.4068874619752594,(130000000+259082939.7621355j)
1573.5735735735736,1.4044312176593636,(130000000+259918809.1089998j)
1577.077077077077,1.401969161783556,(130000000+260754106.51228517j)
1580.5805805805805,1.3995013164416141,(130000000+261588835.7752895j)
1584.084084084084,1.3970277035702634,(130000000+262423000.66766405j)
1587.5875875875877,1.3945483449515441,(130000000+263256604.92578444j)
1591.0910910910911,1.392063262215144,(130000000+264089652.2531169j)
1594.5945945945946,1.3895724768406972,(130000000+264922146.32057992j)
1598.098098098098,1.3870760101600512,(130000000+265754090.76690108j)
1601.6016016016015,1.3845738833594967,(130000000+266585489.19896927j)
1605.1051051051052,1.3820661174819733,(130000000+267416345.19218186j)
1608.6086086086086,1.379552733429234,(130000000+268246662.2907876j)
1612.112112112112,1.3770337519639828,(130000000+269076444.0082255j)
1615.6156156156155,1.3745091937119809,(130000000+269905693.8274585j)
1619.1191191191192,1.371979079164122,(130000000+270734415.20130354j)
1622.6226226226227,1.3694434286784751,(130000000+271562611.5527563j)
1626.126126126126,1.3669022624823002,(130000000+272390286.2753137j)
1629.6296296296296,1.3643556006740307,(130000000+273217442.73328966j)
1633.133133133133,1.3618034632252327,(130000000+274044084.262129j)
1636.6366366366367,1.3592458699825265,(130000000+274870214.1687161j)
1640.1401401401401,1.3566828406694886,(130000000+275695835.73167986j)
1643.6436436436436,1.3541143948885195,(130000000+276520952.20169514j)
1647.147147147147,1.351540552122685,(130000000+277345566.8017799j)
1650.6506506506507,1.348961331737534,(130000000+278169682.7275887j)
1654.1541541541542,1.3463767529828832,(130000000+278993303.14770234j)
1657.6576576576576,1.3437868349945794,(130000000+279816431.203914j)
1661.161161161161,1.3411915967962353,(130000000+280639070.01151234j)
1664.6646646646645,1.3385910573009363,(130000000+281461222.6595593j)
1668.1681681681682,1.3359852353129265,(130000000+282282892.2111665j)
1671.6716716716717,1.3333741495292653,(130000000+283104081.70376664j)
1675.1751751751751,1.3307578185414628,(130000000+283924794.14938205j)
1678.6786786786788,1.3281362608370864,(130000000+284745032.53489023j)
1682.1821821821823,1.325509494801348,(130000000+285564799.8222853j)
1685.6856856856857,1.3228775387186653,(130000000+286384098.9489365j)
1689.1891891891892,1.3202404107741972,(130000000+287202932.8278444j)
1692.6926926926926,1.3175981290553629,(130000000+288021304.3478918j)
1696.1961961961963,1.3149507115533294,(130000000+288839216.3740939j)
1699.6996996996997,1.312298176164485,(130000000+289656671.7478436j)
1703.2032032032032,1.3096405406918852,(130000000+290473673.28715503j)
1706.7067067067067,1.3069778228466769,(130000000+291290223.7869029j)
1710.2102102102103,1.3043100402495071,(130000000+292106326.0190601j)
1713.7137137137138,1.301637210431902,(130000000+292921982.7329312j)
1717.2172172172172,1.2989593508376331,(130000000+293737196.6553841j)
1720.7207207207207,1.2962764788240555,(130000000+294551970.4910786j)
