frequency (Hz),total pressure/forwards pressure,acoustic impedance at measurement point (z_total = z_ec + z_me)
1500.0,1.4610732497688619,(95000000+183990282.99092367j)
1503.5035035035035,1.4588063298138196,(95000000+184695060.5440946j)
1507.007007007007,1.4565321538814908,(95000000+185399199.43426156j)
1510.5105105105106,1.4542507619611231,(95000000+186102704.1054018j)
1514.014014014014,1.4519621935970837,(95000000+186805578.96035814j)
1517.5175175175175,1.4496664878959182,(95000000+187507828.36131388j)
1521.021021021021,1.4473636835333097,(95000000+188209456.6302612j)
1524.5245245245246,1.445053818760941,(95000000+188910468.04946277j)
1528.028028028028,1.4427369314132528,(95000000+189610866.86190724j)
1531.5315315315315,1.4404130589141042,(95000000+190310657.27175876j)
1535.035035035035,1.438082238283338,(95000000+191009843.44479957j)
1538.5385385385384,1.4357445061432446,(95000000+191708429.50886747j)
1542.042042042042,1.4333998987249321,(95000000+192406419.55428642j)
1545.5455455455456,1.4310484518745983,(95000000+193103817.63429204j)
1549.049049049049,1.4286902010597133,(95000000+193800627.76545104j)
1552.5525525525525,1.4263251813751021,(95000000+194496853.9280747j)
1556.0560560560561,1.4239534275489387,(95000000+195192500.06662726j)
1559.5595595595596,1.4215749739486465,(95000000+195887570.09012845j)
1563.063063063063,1.4191898545867119,(95000000+196582067.8725507j)
1566.5665665665665,1.4167981031263983,(95000000+197275997.25321123j)
1570.07007007007,1.4143997528873864,(95000000+197969362.0371584j)
1573.5735735735736,1.4119948368513127,(95000000+198662165.9955536j)
1577.077077077077,1.4095833876672295,(95000000+199354412.86604726j)
1580.5805805805805,1.4071654376569782,(95000000+200046106.35315034j)
1584.084084084084,1.4047410188204754,(95000000+200737250.12860104j)
1587.5875875875877,1.4023101628409183,(95000000+201427847.8317262j)
1591.0910910910911,1.3998729010899065,(95000000+202117903.06979817j)
1594.5945945945946,1.3974292646324844,(95000000+202807419.41838694j)
1598.098098098098,1.394979284232099,(95000000+203496400.42170766j)
1601.6016016016015,1.3925229903554828,(95000000+204184849.59296387j)
1605.1051051051052,1.3900604131774588,(95000000+204872770.4146853j)
1608.6086086086086,1.387591582585666,(95000000+205560166.33906248j)
1612.112112112112,1.3851165281852074,(95000000+206247040.78827608j)
1615.6156156156155,1.38263527930323,(95000000+206933397.15482262j)
1619.1191191191192,1.3801478649934225,(95000000+207619238.80183542j)
1622.6226226226227,1.377654314040449,(95000000+208304569.06340128j)
1626.126126126126,1.3751546549643028,(95000000+208989391.24487415j)
1629.6296296296296,1.372648916024593,(95000000+209673708.6231833j)
1633.133133133133,1.3701371252247652,(95000000+210357524.44713864j)
1636.6366366366367,1.3676193103162466,(95000000+211040841.93773136j)
1640.1401401401401,1.3650954988025288,(95000000+211723664.28843123j)
1643.6436436436436,1.3625657179431805,(95000000+212405994.66548005j)
1647.147147147147,1.360029994757799,(95000000+213087836.20818093j)
1650.6506506506507,1.3574883560298912,(95000000+213769192.0291844j)
1654.1541541541542,1.3549408283106976,(95000000+214450065.21477044j)
1657.6576576576576,1.3523874379229484,(95000000+215130458.82512745j)
1661.161161161161,1.3498282109645596,(95000000+215810375.89462724j)
1664.6646646646645,1.3472631733122702,(95000000+216489819.43209645j)
1668.1681681681682,1.3446923506252184,(95000000+217168792.42108542j)
1671.6716716716717,1.3421157683484568,(95000000+217847297.8201324j)
1675.1751751751751,1.3395334517164144,(95000000+218525338.56302544j)
1678.6786786786788,1.3369454257562972,(95000000+219202917.55906087j)
1682.1821821821823,1.3343517152914357,(95000000+219880037.69329762j)
1685.6856856856857,1.3317523449445754,(95000000+220556701.82681003j)
1689.1891891891892,1.3291473391411144,(95000000+221232912.79693598j)
1692.6926926926926,1.3265367221122877,(95000000+221908673.41752252j)
1696.1961961961963,1.3239205178982958,(95000000+222583986.47916886j)
1699.6996996996997,1.3212987503513876,(95000000+223258854.74946547j)
1703.2032032032032,1.318671443138886,(95000000+223933280.97323123j)
1706.7067067067067,1.3160386197461684,(95000000+224607267.87274686j)
1710.2102102102103,1.3134003034795954,(95000000+225280818.14798576j)
1713.7137137137138,1.3107565174693911,(95000000+225953934.4768421j)
1717.2172172172172,1.3081072846724793,(95000000+226626619.51535618j)
